image number;Distance (R);Z score-3 (R);Z score-5 (R);Z score-7 (R);Probability (R);Distance (L);Z score-3 (L);Z score-5 (L);Z score-7 (L);Probability (L);Orientation;Z score-3 (F);Z score-5 (F);Z score-7 (F);Probability (F)
1269;0.73;-0.7071074;-0.966872;-0.86373144;4;0;0;0;0;0;0;0;0;0;0
1270;0.9110001;1.414214;1.4504875;1.7517884;4;0;0;0;0;0;0;0;0;0;0
1271;0.86600006;0.3942313;0.59912205;0.8455778;4;0;0;0;0;0;0;0;0;0;0
1272;0.93100005;1.0423359;1.1173545;1.2941928;4;0;0;0;0;0;0;0;0;0;0
1273;1.136;1.3760895;1.6892014;1.9906821;4;0;0;0;0;0;0;0;0;0;0
1274;1.1350001;0.70191485;1.2000817;1.38792;4;0;0;0;0;0;0;0;0;0;0
1275;1.133;-1.3363837;0.7896975;1.0475639;4;0;0;0;0;0;0;0;0;0;0
1276;1.131;-1.2247083;0.46598616;0.8318986;4;0;0;0;0;0;0;0;0;0;0
1277;0.934;-1.414159;-1.9995385;-0.92474675;4;0;0;0;0;0;0;0;0;0;0
1278;1.169;0.88350856;0.81308764;0.92460763;4;0;0;0;0;0;0;0;0;0;0
1279;1.171;0.71607566;0.71676946;0.7311355;4;0;0;0;0;0;0;0;0;0;0
1280;1.169;-0.7071911;0.5914768;0.6250895;4;0;0;0;0;0;0;0;0;0;0
1281;1.172;1.0690587;0.5184795;0.5805144;4;0;0;0;0;0;0;0;0;0;0
1282;0.81100005;-1.4141765;-1.9999343;-1.9794455;4;0;0;0;0;0;0;0;0;0;0
1283;0.809;-0.712959;-1.2303786;-1.3828316;4;0;0;0;0;0;0;0;0;0;0
1284;0.809;-0.70710677;-0.8202496;-1.1584127;4;0;0;0;0;0;0;0;0;0;0
1285;0.74300003;-1.414213;-0.81802636;-1.1258882;4;0;0;0;0;0;0;0;0;0;0
1286;1.343;1.4070824;1.9863559;1.6316297;4;0;0;0;0;0;0;0;0;0;0
1287;0.90800005;-0.35561746;-0.0664204;-0.16303536;4;0;0;0;0;0;0;0;0;0;0
1288;0.791;-0.9389829;-0.58410794;-0.5054653;4;0;0;0;0;0;0;0;0;0;0
1289;1.3360001;1.3845042;1.1856098;1.538714;4;0;0;0;0;0;0;0;0;0;0
1290;1.343;0.7205988;0.8165515;1.1464156;4;0;0;0;0;0;0;0;0;0;0
1291;0.5;-1.4141766917818752;-1.4611891868564693;-1.5470731269049727;4;0;0;0;0;0;0;0;0;0;0
1292;1.343;0.7071067811865476;0.794821592632169;0.8168220571370396;4;0;0;0;0;0;0;0;0;0;0
1293;1.3570001;0.7245028484108058;0.5361441497490272;0.8497645548999512;4;0;0;0;0;0;0;0;0;0;0
1294;0.5;-1.414069715063416;-1.224652080966252;-1.3767091962362585;4;0;0;0;0;0;0;0;0;0;0
1295;1.353;0.702138781712496;0.8212446570987638;0.6496253335917715;4;0;0;0;0;0;0;0;0;0;0
1296;1.3360001;0.6856512905708835;0.4666935856616032;0.6051714898834949;4;0;0;0;0;0;0;0;0;0;0
1297;1.0250001;-1.4127144;-0.26885739766108324;-0.09225656323423109;4;0;0;0;0;0;0;0;0;0;0
1298;1.01;-0.7564311;-0.1125284780086316;-0.4128198102494342;4;0;0;0;0;0;0;0;0;0;0
1299;1.102;1.3977923;-0.42193604;0.0156650019008154;4;0;0;0;0;0;0;0;0;0;0
